date,sleep,wake
2020-03-03,5,453
2020-03-03,-37,452
2020-03-05,6,460
2020-03-05,-26,450
2020-03-06,-7,645
2020-03-08,78,664
2020-03-09,33,511
2020-03-09,-10,462
2020-03-11,25,462
2020-03-12,48,525
2020-03-13,39,457
2020-03-14,65,678
2020-03-15,100,662
2020-03-16,56,570
2020-03-17,11,525
2020-03-18,37,511
2020-03-19,67,525
2020-03-20,42,524
2020-03-21,95,645
2020-03-22,104,705
2020-03-23,136,675
2020-03-24,96,648
2020-03-25,58,504
2020-03-26,21,525
2020-03-27,17,525
2020-03-28,100,690
2020-03-29,78,655
2020-03-30,38,585
2020-03-31,78,687
2020-04-01,78,492
2020-04-02,20,510
2020-04-03,62,544
2020-04-04,108,669
2020-04-05,88,606
2020-04-06,54,585
2020-04-07,66,542
2020-04-08,19,545
2020-04-09,53,543
2020-04-10,100,649
2020-04-11,75,611
2020-04-12,99,607
2020-04-13,24,569
2020-04-14,65,551
2020-04-15,60,540
2020-04-16,32,542
2020-04-17,55,570
2020-04-18,88,615
2020-04-19,79,614
